Run,Surface,Tile,Tile_38,Average_A,Stdv_A,Average_0,Stdv_0,Average_2,Stdv_2,Average_3,Stdv_3,Average_4,Stdv_4,Average_5,Stdv_5,Average_1,Stdv_1
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Top,9,9,55,39.83577398380617,0,0.0,81,6.583014265331521,88,5.391910823813909,84,6.303117477949177,92,1.3018773226194347,90,3.1207962122875403
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Top,10,10,54,39.347455092066916,9,28.747978728803446,79,7.751985453008076,87,5.219726222526851,82,6.1602130524902305,92,1.3798655631566774,90,3.3333333333333335
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Top,11,11,52,38.177945931591914,9,28.747978728803446,75,9.212325494417204,86,5.795083295156784,78,7.875510690682431,91,2.0900939047221807,89,3.2385707020295076
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Top,12,12,57,40.65300316909769,4,14.373989364401723,82,6.394656548487483,88,4.983374278979011,85,5.493541124160283,92,1.068500385488487,89,3.553626019647699
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Top,13,13,57,40.65300316909769,0,0.0,81,7.0044077833219935,88,4.746524249955791,85,5.586861171666904,92,1.0882307959612274,90,3.1976500287628706
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Top,14,14,56,40.30164044083345,9,28.747978728803446,80,7.58997244763312,87,5.036764698520062,83,5.688668275225945,92,1.4427351921842282,89,3.2764697117920694
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Top,15,15,57,40.74582459862878,0,0.0,82,6.294771057090139,88,4.8782150595635425,86,4.994079334809056,93,0.9215492692641581,90,3.4854193647462495
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Top,16,16,58,41.30375285612676,0,0.0,82,6.550426953906413,88,4.5973690812393775,86,4.528182623285249,93,1.0616999957340127,89,3.0392945539153544
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Top,17,17,58,41.491632355880576,0,0.0,84,5.332047170020124,89,4.650766563656966,88,4.420400528051996,93,0.7528428090618781,90,2.987399234085301
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Top,18,18,56,40.18568014714805,0,0.0,80,7.071843743812491,87,5.396488214386368,84,5.471415770396578,92,1.343630076923144,89,3.4334751658746043
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Top,19,19,56,40.00833246545858,9,28.747978728803446,77,8.193309191083044,86,5.48498386606323,82,6.445033866354896,91,1.7410444719556408,88,3.5832256659104664
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Bottom,1,20,59,41.817061908587824,9,28.747978728803446,90,2.4343224778007384,81,8.514491801905665,89,4.910591138085494,93,0.6375882580328384,89,3.95169738321456
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Bottom,2,21,59,42.08193066969348,6,19.26114574829831,90,2.6532584723810837,81,9.048717406025093,88,5.1807563816869955,93,0.7120510864119793,88,4.876527582409715
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Bottom,3,22,59,42.08193066969348,9,28.747978728803446,90,2.948110924760355,83,7.978365809340553,89,4.4555662946383325,93,0.5016947286192168,89,4.184365701481067
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Bottom,4,23,59,41.817061908587824,0,0.0,90,2.617342184304408,81,9.124651185621248,88,5.084493190664843,93,0.7677284490497327,89,4.272924936989506
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Bottom,5,24,59,41.88078318274385,0,0.0,89,2.884612219054927,80,9.023973557443089,88,5.176185797310991,93,0.6734975230359325,88,4.247810700537332
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Bottom,6,25,57,40.83571421630281,0,0.0,88,3.1150768375280413,77,10.042433973382119,86,5.928693640594331,92,0.8658293595479065,87,4.8227854253801565
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Bottom,7,26,59,41.88078318274385,0,0.0,89,3.1075817723560046,80,9.161259160734996,87,5.355967749393603,93,0.8360375618888725,88,4.6930471293206395
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Bottom,8,27,60,42.49705872175156,0,0.0,90,2.6805195737366265,83,7.398327768644128,89,4.548392004047717,93,0.6166543296250825,89,4.150792807739823
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Bottom,9,28,59,42.08193066969348,0,0.0,89,2.7125679146074897,82,8.163117562561013,89,4.803228697153589,93,0.7101412454586655,89,4.110944274225661
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Bottom,10,29,58,41.21488404286329,0,0.0,88,3.6141013260645765,80,9.42430678082159,87,4.989930689300571,93,0.7805930352274104,88,4.612858511686004
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Bottom,11,30,57,40.74582459862878,0,0.0,88,3.7562933017801776,77,10.063720169442014,86,6.111513046372096,92,0.9647475786174157,87,5.206833117271103
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Bottom,12,31,58,41.61196409153929,0,0.0,89,2.97774092477656,80,8.916777238651369,87,5.087547158963202,93,0.855837674941224,88,4.62088062201439
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Bottom,13,32,58,41.61196409153929,0,0.0,89,3.0011429007233916,80,8.985737823070831,88,5.002514160798956,93,0.7909629912953663,88,4.685148587179559
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Bottom,14,33,58,41.61196409153929,0,0.0,89,2.7923076777734464,81,8.905231889561255,88,5.0243489966598345,93,0.6404219975869111,88,5.101440125888443
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Bottom,15,34,59,42.08193066969348,9,28.747978728803446,89,3.003884088295054,81,9.108400680852977,88,4.860935941241364,93,0.8663520455958441,88,4.532764428113177
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Bottom,16,35,59,42.08193066969348,0,0.0,89,2.7372349950965744,81,8.757360220105792,88,4.9851851526214315,93,0.7498302207108978,87,5.336675907282453
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Bottom,17,36,59,41.88078318274385,0,0.0,89,3.0671497204093914,81,8.874216285263763,88,4.8510353924392495,93,0.6815156331083817,88,4.900939133428894
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Bottom,18,37,59,41.817061908587824,9,28.747978728803446,88,3.5870518556454076,81,8.608063976998473,88,4.559274311611521,93,0.7133214729463919,88,4.956878525724921
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Bottom,19,38,58,41.41121694527811,0,0.0,88,2.739739556875101,80,9.277315727387105,88,4.973450220982584,92,0.6992202861768079,88,4.650176626879854
180413_M05950_0003_000000000-BP4CR_SubTile%PF.csv,Top,1,1,58,41.77186719418811,9,28.747978728803446,86,5.124245068021901,91,1.9144959975289013,89,3.767071595067827,94,0.6509386613097172,88,3.832214902147507
180413_M05950_0003_000000000-BP4CR_SubTile%PF.csv,Top,2,2,57,41.12041936664665,9,28.747978728803446,84,6.0602824455313895,91,2.0727509006864033,87,4.624350266212042,93,0.8574230501961653,87,4.311912869318279
